,name,cuisine,price,rank,neighborhood,reviews,avg
0,Piccola Cucina Osteria,Italian,2.0,1, Manhattan,2012.0,4.5
1,Club A Steakhouse,American,3.0,2, Manhattan,3501.0,4.5
2,SottoCasa Pizzeria,Pizza,2.0,3, Manhattan,327.0,5.0
3,Boucherie Union Square,French,3.0,4, Manhattan,641.0,5.0
4,Piccola Cucina,Italian,2.0,5, Manhattan,704.0,4.5
5,Boucherie West Village,French,2.0,6, Manhattan,709.0,4.5
6,Loi Estiatorio,Mediterranean,2.0,7, Manhattan,340.0,4.5
7,Song E Napule,Italian,2.0,8, Manhattan,259.0,4.5
8,Petite Boucherie,French,2.0,9, Manhattan,421.0,4.5
9,Los Tacos No. 1,Mexican,1.0,10, Manhattan,214.0,4.5
10,Daniel,French,3.0,11, Manhattan,3146.0,4.5
11,Olio e Piu,Italian,2.0,12, Manhattan,1696.0,4.5
12,Spice Symphony,Indian,2.0,13, Manhattan,2188.0,4.5
13,Spice Symphony 31st,Indian,2.0,14, Manhattan,124.0,4.5
14,Sottocasa Pizzeria,Italian,2.0,2, Brooklyn,276.0,4.5
15,Le Bernardin,French,3.0,15, Manhattan,3272.0,4.5
16,San Carlo Osteria Piemonte,Italian,2.0,16, Manhattan,539.0,4.5
17,Decoy Bar,Chinese,2.0,17, Manhattan,166.0,4.5
18,Royal 35 Steakhouse,American,3.0,18, Manhattan,361.0,4.5
19,Pure Thai Cookhouse,Asian,2.0,19, Manhattan,1319.0,4.5
20,Jungsik,Asian,3.0,20, Manhattan,254.0,4.5
21,Per Se,French,3.0,21, Manhattan,1743.0,4.5
22,Murray's Cheese,Deli,2.0,22, Manhattan,238.0,4.5
23,K Rico Steakhouse,American,2.0,23, Manhattan,2666.0,4.5
24,B Side Pizzeria,Italian,2.0,24, Manhattan,369.0,4.5
25,Eileen's Special Cheesecake,American,1.0,25, Manhattan,1920.0,4.5
26,Juliana's Pizza,Pizza,2.0,4, Brooklyn,2850.0,4.5
27,Broadway Bagel,American,1.0,26, Manhattan,209.0,4.5
28,The Modern,Contemporary,3.0,27, Manhattan,1954.0,4.5
29,Tree Bistro,French,2.0,28, Manhattan,326.0,4.5
30,Tree Bistro,French,2.0,29, Manhattan,326.0,4.5
31,Gabriel Kreuther,French,3.0,30, Manhattan,629.0,4.5
32,Indian Accent,Indian,3.0,31, Manhattan,466.0,4.5
33,Numero 28 Pizzeria,Italian,2.0,32, Manhattan,969.0,4.5
