avg,cuisine,name,price,rank,reviews
4.5 ,"Italian,Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",Piccola Cucina Osteria,$$ - $$$,"#1 of 10,384 Restaurants in New York City","2,012"
4.5 ,"American,Steakhouse,Gluten Free Options",Club A Steakhouse,$$$$,"#2 of 10,384 Restaurants in New York City","3,501"
5 ,"Pizza,Vegetarian Friendly,Vegan Options,Gluten Free Options",SottoCasa Pizzeria,$$ - $$$,"#3 of 10,384 Restaurants in New York City",327
5 ,"French,Steakhouse,Gluten Free Options",Boucherie Union Square,$$$$,"#4 of 10,384 Restaurants in New York City",641
4.5 ,"Italian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Piccola Cucina,$$ - $$$,"#5 of 10,384 Restaurants in New York City",704
4.5 ,"French,Steakhouse,Vegetarian Friendly,Vegan Options,Gluten Free Options",Boucherie West Village,$$ - $$$,"#6 of 10,384 Restaurants in New York City",709
4.5 ,"Mediterranean,Greek,Seafood,Vegetarian Friendly,Vegan Options,Gluten Free Options",Loi Estiatorio,$$ - $$$,"#7 of 10,384 Restaurants in New York City",340
4.5 ,"Italian,Pizza,Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",Song E Napule,$$ - $$$,"#8 of 10,384 Restaurants in New York City",259
4.5 ,"French,Vegetarian Friendly,Vegan Options,Gluten Free Options",Petite Boucherie,$$ - $$$,"#9 of 10,384 Restaurants in New York City",421
4.5 ,"Mexican,Latin,Central American,Fast Food,Vegetarian Friendly,Gluten Free Options",Los Tacos No. 1,$,"#10 of 10,384 Restaurants in New York City",214
4.5 ,"French,Vegetarian Friendly,Vegan Options,Gluten Free Options",Daniel,$$$$,"#11 of 10,384 Restaurants in New York City","3,146"
4.5 ,"Italian,Pizza,Vegetarian Friendly,Vegan Options,Gluten Free Options",Olio e Piu,$$ - $$$,"#12 of 10,384 Restaurants in New York City","1,696"
4.5 ,"Indian,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Spice Symphony,$$ - $$$,"#13 of 10,384 Restaurants in New York City","2,188"
4.5 ,"Indian,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options",Spice Symphony 31st,$$ - $$$,"#14 of 10,384 Restaurants in New York City",124
4.5 ,"Italian,Pizza,Vegetarian Friendly,Vegan Options,Gluten Free Options",Sottocasa Pizzeria,$$ - $$$,"#2 of 5,329 Restaurants in Brooklyn",276
4.5 ,"French,Gluten Free Options,Vegetarian Friendly",Le Bernardin,$$$$,"#15 of 10,384 Restaurants in New York City","3,272"
4.5 ,"Italian,Mediterranean,Vegetarian Friendly,Vegan Options,Gluten Free Options",San Carlo Osteria Piemonte,$$ - $$$,"#16 of 10,384 Restaurants in New York City",539
4.5 ,"Chinese,Asian,Gluten Free Options",Decoy Bar,$$ - $$$,"#17 of 10,384 Restaurants in New York City",166
4.5 ,"American,Steakhouse,Gluten Free Options",Royal 35 Steakhouse,$$$$,"#18 of 10,384 Restaurants in New York City",361
